epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.5213,1.25082,3.7141,1.37409,0.65521,0.14391,0.10906,0.06295,1.26297,3.51409,1.36353,0.000127923,0.000127923,0.000127923
2,143.762,1.19691,2.79554,1.32662,0.36024,0.2421,0.15891,0.09741,1.26257,3.35032,1.36463,0.000251183,0.000251183,0.000251183
3,207.869,1.17838,2.4671,1.3042,0.50803,0.31553,0.25851,0.16474,1.24144,2.67064,1.33062,0.00036936,0.00036936,0.00036936
4,270.112,1.16632,2.24023,1.30048,0.42912,0.32747,0.31617,0.19687,1.22139,2.36937,1.32637,0.000362131,0.000362131,0.000362131
5,332.328,1.13009,2.02791,1.28356,0.59067,0.32561,0.39194,0.25411,1.16622,2.11938,1.27933,0.000354508,0.000354508,0.000354508
6,394.195,1.11856,1.87562,1.26754,0.57605,0.36562,0.44884,0.29617,1.16972,1.91753,1.29235,0.000346885,0.000346885,0.000346885
7,455.804,1.07635,1.72858,1.23688,0.57235,0.47101,0.50285,0.32973,1.12715,1.73399,1.26117,0.000339262,0.000339262,0.000339262
8,519.049,1.07286,1.63984,1.23251,0.62481,0.51725,0.55721,0.36994,1.11687,1.62121,1.23525,0.000331639,0.000331639,0.000331639
9,582.582,1.05162,1.52552,1.22368,0.57113,0.53894,0.56485,0.38178,1.08163,1.53822,1.21375,0.000324016,0.000324016,0.000324016
10,646.392,1.03571,1.4468,1.21216,0.63706,0.52367,0.59903,0.40103,1.08729,1.43088,1.19713,0.000316393,0.000316393,0.000316393
11,708.11,1.02117,1.38866,1.20097,0.654,0.58304,0.64008,0.43271,1.07029,1.34756,1.17975,0.00030877,0.00030877,0.00030877
12,770.329,1.00753,1.33429,1.19762,0.71788,0.62522,0.69102,0.46087,1.05476,1.31898,1.19285,0.000301147,0.000301147,0.000301147
13,832.876,0.99209,1.27419,1.17944,0.69035,0.6533,0.69355,0.4697,1.02276,1.29915,1.15804,0.000293524,0.000293524,0.000293524
14,894.964,0.98122,1.23399,1.16829,0.70905,0.66689,0.72563,0.48928,1.02826,1.18918,1.17679,0.000285901,0.000285901,0.000285901
15,956.986,0.9635,1.19819,1.16622,0.73671,0.68251,0.74858,0.51721,1.03508,1.15169,1.16825,0.000278278,0.000278278,0.000278278
16,1019.24,0.96593,1.16735,1.15965,0.75429,0.67495,0.74694,0.50916,1.02338,1.10893,1.16456,0.000270655,0.000270655,0.000270655
17,1081.58,0.96338,1.13282,1.16492,0.8192,0.69175,0.76893,0.52156,1.0344,1.11277,1.16188,0.000263032,0.000263032,0.000263032
18,1142.91,0.94624,1.11103,1.14964,0.75309,0.71921,0.77591,0.54393,0.99563,1.03107,1.1412,0.000255409,0.000255409,0.000255409
19,1204.9,0.94716,1.07788,1.1469,0.79711,0.70071,0.78448,0.54716,0.985,1.03482,1.13628,0.000247786,0.000247786,0.000247786
20,1266.27,0.9212,1.05907,1.13811,0.82914,0.70774,0.80873,0.56034,0.98921,0.98319,1.12868,0.000240163,0.000240163,0.000240163
21,1328.53,0.92601,1.03602,1.13558,0.78511,0.74002,0.8154,0.5708,0.96662,0.95398,1.11148,0.00023254,0.00023254,0.00023254
22,1390.6,0.91466,1.0091,1.13091,0.79408,0.76503,0.80542,0.55639,0.97532,0.96769,1.11917,0.000224917,0.000224917,0.000224917
23,1451.72,0.91008,1.00049,1.12629,0.8001,0.76397,0.83169,0.57945,0.96885,0.93585,1.11088,0.000217294,0.000217294,0.000217294
24,1513.02,0.89978,0.98625,1.12507,0.79676,0.75427,0.8173,0.57413,0.96915,0.95172,1.1319,0.000209671,0.000209671,0.000209671
25,1574.56,0.90054,0.97347,1.1262,0.82969,0.75906,0.83633,0.58686,0.94695,0.91048,1.09638,0.000202048,0.000202048,0.000202048
26,1636,0.87765,0.95207,1.10912,0.8078,0.78694,0.84338,0.5872,0.95093,0.88677,1.1,0.000194425,0.000194425,0.000194425
27,1697.02,0.88354,0.94075,1.11339,0.82233,0.78508,0.84611,0.60234,0.93801,0.84625,1.09331,0.000186802,0.000186802,0.000186802
28,1763.05,0.87302,0.90915,1.10607,0.80638,0.78157,0.84469,0.5959,0.9575,0.8913,1.11063,0.000179179,0.000179179,0.000179179
29,1824.76,0.88235,0.9068,1.11601,0.84884,0.76674,0.84783,0.60164,0.94371,0.85774,1.09631,0.000171556,0.000171556,0.000171556
30,1885.23,0.86125,0.87724,1.10342,0.83467,0.79956,0.85745,0.61024,0.92965,0.82216,1.08319,0.000163933,0.000163933,0.000163933
31,1946.07,0.86729,0.87592,1.10412,0.83232,0.80832,0.85854,0.61764,0.9302,0.82309,1.08367,0.00015631,0.00015631,0.00015631
32,2005.21,0.84731,0.85677,1.09417,0.81987,0.8095,0.85538,0.61717,0.9279,0.82141,1.07721,0.000148687,0.000148687,0.000148687
33,2063.81,0.85039,0.83857,1.09411,0.8473,0.78359,0.85966,0.61763,0.92812,0.81107,1.08018,0.000141064,0.000141064,0.000141064
34,2123.99,0.83512,0.82496,1.08511,0.86426,0.80022,0.86898,0.62811,0.91163,0.79724,1.0639,0.000133441,0.000133441,0.000133441
35,2183.63,0.8299,0.81398,1.08151,0.88755,0.80236,0.87666,0.63351,0.9121,0.79363,1.06967,0.000125818,0.000125818,0.000125818
36,2243.48,0.81897,0.80805,1.07915,0.86544,0.81149,0.87811,0.6319,0.91265,0.77434,1.0671,0.000118195,0.000118195,0.000118195
37,2303.95,0.82042,0.79723,1.07515,0.84153,0.82227,0.87596,0.63222,0.90862,0.77009,1.0657,0.000110572,0.000110572,0.000110572
38,2363.55,0.81973,0.77908,1.07429,0.8465,0.82654,0.8832,0.63887,0.90973,0.75261,1.06601,0.000102949,0.000102949,0.000102949
39,2423.76,0.82362,0.78557,1.07023,0.84228,0.82796,0.88351,0.6353,0.90303,0.75285,1.0692,9.5326e-05,9.5326e-05,9.5326e-05
40,2485.45,0.80269,0.76855,1.0654,0.83381,0.83774,0.88275,0.63811,0.89652,0.74242,1.05536,8.7703e-05,8.7703e-05,8.7703e-05
41,2576.48,0.82788,0.71241,1.09951,0.87382,0.83839,0.89321,0.64588,0.88987,0.74282,1.05282,8.008e-05,8.008e-05,8.008e-05
42,2633.11,0.81254,0.67738,1.09226,0.86511,0.84608,0.8877,0.65395,0.88695,0.72443,1.0524,7.2457e-05,7.2457e-05,7.2457e-05
43,2690.11,0.78328,0.64827,1.06489,0.87999,0.82843,0.89449,0.65721,0.87297,0.71309,1.04071,6.4834e-05,6.4834e-05,6.4834e-05
44,2747.06,0.78223,0.63127,1.06784,0.89206,0.83101,0.89367,0.65714,0.8771,0.71106,1.04156,5.7211e-05,5.7211e-05,5.7211e-05
45,2807.01,0.77941,0.63115,1.07106,0.89375,0.83265,0.89902,0.66225,0.87785,0.70681,1.04305,4.9588e-05,4.9588e-05,4.9588e-05
46,2865.79,0.76345,0.60373,1.05713,0.88308,0.84925,0.89742,0.66058,0.87176,0.70052,1.0436,4.1965e-05,4.1965e-05,4.1965e-05
47,2929.66,0.76479,0.61156,1.06034,0.88561,0.83982,0.89404,0.66252,0.87373,0.69105,1.04055,3.4342e-05,3.4342e-05,3.4342e-05
48,2989.47,0.75002,0.59094,1.05124,0.88679,0.84042,0.89682,0.66655,0.86869,0.68996,1.03735,2.6719e-05,2.6719e-05,2.6719e-05
49,3048.27,0.74826,0.58849,1.04902,0.8797,0.8415,0.89812,0.66517,0.86926,0.68336,1.03665,1.9096e-05,1.9096e-05,1.9096e-05
50,3106.72,0.7456,0.58397,1.05169,0.892,0.84327,0.90072,0.6677,0.8706,0.68512,1.03958,1.1473e-05,1.1473e-05,1.1473e-05
